City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,kas,36.2018,29.6377,13.2,69,13,0.63,TR,2024-2-7
79,margaret river,-33.95,115.0667,26.69,40,0,4.02,AU,2024-2-7
80,nantucket,41.2835,-70.0995,2.03,93,75,5.66,US,2024-2-7
81,mejit,10.2753,170.8646,26.95,82,100,7.92,MH,2024-2-7
82,hamilton,39.1834,-84.5333,3.3,80,0,3.09,US,2024-2-7
83,blackmans bay,-43.0167,147.3167,19.85,52,22,0.89,AU,2024-2-7
84,nuevo casas grandes,30.4167,-107.9167,10.91,52,99,5.73,MX,2024-2-7
85,seguela,7.9611,-6.6731,21.28,24,5,1.59,CI,2024-2-7
86,lichinga,-13.3128,35.2406,21.05,83,75,3.6,MZ,2024-2-7
87,la passe,45.5549,-0.8967,11.1,92,99,5.38,FR,2024-2-7
88,scottburgh,-30.2867,30.7532,23.11,85,4,5.51,ZA,2024-2-7
89,omurtag,43.1,26.4167,7.15,60,92,2.71,BG,2024-2-7
90,serdar,38.9764,56.2757,8.45,51,81,2.12,TM,2024-2-7
91,tiksi,71.6872,128.8694,-28.08,99,98,2.97,RU,2024-2-7
92,dingzhou,38.5131,114.9956,2.06,39,0,0.52,CN,2024-2-7
93,emmett,43.8735,-116.4993,7.41,85,100,2.16,US,2024-2-7
94,susuman,62.7833,148.1667,-29.45,100,98,0.45,RU,2024-2-7
95,greenville,35.6127,-77.3663,3.4,75,40,3.6,US,2024-2-7
96,albany,42.6001,-73.9662,-2.0,73,26,0.45,US,2024-2-7
97,homagama,6.844,80.0024,28.86,57,45,0.79,LK,2024-2-7
98,starotitarovskaya,45.2136,37.1439,9.26,90,98,4.92,RU,2024-2-7
99,mormugao,15.4,73.8,29.64,41,0,1.48,IN,2024-2-7
100,georgetown,5.4112,100.3354,32.75,74,20,5.14,MY,2024-2-7
101,lihue,21.9789,-159.3672,25.58,71,100,8.23,US,2024-2-7
102,trincomalee,8.5711,81.2335,27.32,63,94,3.98,LK,2024-2-7
103,diksmuide,51.0333,2.8667,7.85,93,100,7.2,BE,2024-2-7
104,sorong,-0.8833,131.25,28.09,72,100,2.33,ID,2024-2-7
105,guerrero negro,27.9769,-114.0611,15.19,75,14,5.51,MX,2024-2-7
106,kapuskasing,49.4169,-82.4331,2.05,93,100,1.54,CA,2024-2-7
107,adzope,6.1069,-3.8619,21.62,98,10,0.08,CI,2024-2-7
108,udachny,66.4167,112.4,-28.64,75,98,1.7,RU,2024-2-7
109,brooks,50.5834,-111.8851,-4.01,93,36,2.57,CA,2024-2-7
110,grand baie,-20.0182,57.5802,29.13,76,48,2.24,MU,2024-2-7
111,machico,32.7,-16.7667,20.0,55,20,3.09,PT,2024-2-7
112,hermanus,-34.4187,19.2345,19.89,83,13,5.24,ZA,2024-2-7
113,salekhard,66.53,66.6019,-20.4,98,99,2.4,RU,2024-2-7
114,fort bragg,35.139,-79.006,4.34,50,0,4.12,US,2024-2-7
115,ad dabbah,18.05,30.95,12.08,39,97,3.67,SD,2024-2-7
116,magadan,59.5667,150.8,-18.73,82,98,2.4,RU,2024-2-7
117,prince george,53.9166,-122.753,-3.54,93,0,2.06,CA,2024-2-7
118,mananjary,-21.2167,48.3333,26.29,85,97,4.16,MG,2024-2-7
119,mount gambier,-37.8333,140.7667,21.23,42,39,5.02,AU,2024-2-7
120,parauapebas,-6.0675,-49.9022,22.48,97,88,0.49,BR,2024-2-7
121,the dalles,45.5946,-121.1787,7.45,84,20,1.79,US,2024-2-7
122,mabaruma,8.2,-59.7833,25.38,90,22,2.45,GY,2024-2-7
123,columbia falls,48.3725,-114.1815,-0.11,95,100,0.0,US,2024-2-7
124,laguna,38.421,-121.4238,11.29,82,0,2.57,US,2024-2-7
125,punta arenas,-53.15,-70.9167,12.06,62,75,5.14,CL,2024-2-7
